dataset,model,strategy,fold,accuracy,precision,recall,f1_score,roc_auc
IBM_Telco,Logistic,None,1,0.8112136266855926,0.6666666666666666,0.5775401069518716,0.6189111747851003,0.8544253274432302
IBM_Telco,Logistic,None,2,0.8112136266855926,0.6666666666666666,0.5775401069518716,0.6189111747851003,0.8455062130253946
IBM_Telco,Logistic,None,3,0.8197303051809794,0.6910828025477707,0.5802139037433155,0.6308139534883721,0.8634503603813066
IBM_Telco,Logistic,None,4,0.7911931818181818,0.6321070234113713,0.5067024128686327,0.5625,0.8252748960640323
IBM_Telco,Logistic,None,5,0.7940340909090909,0.6346153846153846,0.5294117647058824,0.577259475218659,0.8364988777293931
IBM_Telco,Logistic,Class_Weights,1,0.752306600425834,0.5215889464594128,0.8074866310160428,0.633788037775446,0.8547069157043581
IBM_Telco,Logistic,Class_Weights,2,0.7452093683463449,0.5124792013311148,0.8235294117647058,0.6317948717948718,0.8460022217055465
IBM_Telco,Logistic,Class_Weights,3,0.7508871540099361,0.5198618307426598,0.8048128342245989,0.6316894018887723,0.8626417628975174
IBM_Telco,Logistic,Class_Weights,4,0.7407670454545454,0.5071428571428571,0.7613941018766756,0.6087888531618435,0.8221406276307781
IBM_Telco,Logistic,Class_Weights,5,0.7478693181818182,0.5164644714038128,0.7967914438502673,0.6267087276550999,0.8362971793253964
IBM_Telco,Logistic,SMOTE,1,0.7579843860894251,0.5292035398230088,0.7994652406417112,0.6368477103301384,0.8533041411558036
IBM_Telco,Logistic,SMOTE,2,0.7444996451383961,0.5118243243243243,0.8101604278074866,0.6273291925465838,0.8449972874525304
IBM_Telco,Logistic,SMOTE,3,0.7622427253371186,0.5343915343915344,0.8101604278074866,0.6439957492029755,0.8608256477821696
IBM_Telco,Logistic,SMOTE,4,0.7485795454545454,0.5178907721280602,0.7372654155495979,0.6084070796460177,0.8236274624082061
IBM_Telco,Logistic,SMOTE,5,0.7450284090909091,0.5136116152450091,0.7566844919786097,0.6118918918918919,0.8325166271889447
IBM_Telco,RandomForest,None,1,0.8069552874378992,0.6688741721854304,0.5401069518716578,0.5976331360946746,0.8545661215737942
IBM_Telco,RandomForest,None,2,0.8005677785663591,0.6504854368932039,0.5374331550802139,0.5885797950219619,0.8386266759668294
IBM_Telco,RandomForest,None,3,0.8090844570617459,0.6804123711340206,0.5294117647058824,0.5954887218045113,0.8566121573794208
IBM_Telco,RandomForest,None,4,0.7862215909090909,0.6285714285714286,0.4718498659517426,0.5390505359877489,0.824581989612879
IBM_Telco,RandomForest,None,5,0.7990056818181818,0.6585365853658537,0.5053475935828877,0.5718608169440242,0.8372513679289194
IBM_Telco,RandomForest,Class_Weights,1,0.7771469127040455,0.5622406639004149,0.7245989304812834,0.633177570093458,0.8544899119067917
IBM_Telco,RandomForest,Class_Weights,2,0.7686302342086586,0.5483870967741935,0.7272727272727273,0.6252873563218391,0.841180345656049
IBM_Telco,RandomForest,Class_Weights,3,0.7892122072391767,0.5793814432989691,0.7513368983957219,0.6542491268917345,0.8561923583662713
IBM_Telco,RandomForest,Class_Weights,4,0.7599431818181818,0.5369978858350951,0.6809651474530831,0.6004728132387707,0.8240587481058398
IBM_Telco,RandomForest,Class_Weights,5,0.7677556818181818,0.549266247379455,0.7005347593582888,0.6157461809635723,0.8384938818150788
IBM_Telco,RandomForest,SMOTE,1,0.7778566359119943,0.5667396061269147,0.6925133689839572,0.6233453670276775,0.8434110930274613
IBM_Telco,RandomForest,SMOTE,2,0.7735982966643009,0.5564681724845996,0.7245989304812834,0.629500580720093,0.8376940763130021
IBM_Telco,RandomForest,SMOTE,3,0.7849538679914834,0.5776805251641138,0.7058823529411765,0.6353790613718412,0.8478299620243355
IBM_Telco,RandomForest,SMOTE,4,0.7691761363636364,0.5547945205479452,0.6514745308310992,0.5992601726263872,0.8221108391291397
IBM_Telco,RandomForest,SMOTE,5,0.7620738636363636,0.5414012738853503,0.6818181818181818,0.6035502958579881,0.8256239721139027
IBM_Telco,XGB,None,1,0.808374733853797,0.6688311688311688,0.5508021390374331,0.6041055718475073,0.8528184659898215
IBM_Telco,XGB,None,2,0.8005677785663591,0.6448598130841121,0.553475935828877,0.5956834532374101,0.8443734015345268
IBM_Telco,XGB,None,3,0.8055358410220014,0.668918918918919,0.5294117647058824,0.591044776119403,0.857183084037304
IBM_Telco,XGB,None,4,0.7897727272727273,0.6370106761565836,0.47989276139410186,0.5474006116207951,0.8320174586522645
IBM_Telco,XGB,None,5,0.8053977272727273,0.6748251748251748,0.516042780748663,0.5848484848484848,0.8399018918275942
IBM_Telco,XGB,Class_Weights,1,0.7700496806245565,0.5446428571428571,0.8155080213903744,0.6531049250535332,0.8611731121961301
IBM_Telco,XGB,Class_Weights,2,0.7366926898509581,0.5025817555938038,0.7807486631016043,0.6115183246073298,0.8432651321398124
IBM_Telco,XGB,Class_Weights,3,0.7579843860894251,0.5288966725043783,0.8074866310160428,0.6391534391534391,0.8576248417680643
IBM_Telco,XGB,Class_Weights,4,0.7428977272727273,0.5094017094017094,0.7989276139410187,0.6221294363256785,0.8307404385385502
IBM_Telco,XGB,Class_Weights,5,0.7492897727272727,0.5185185185185185,0.786096256684492,0.6248671625929861,0.8397170016239307
IBM_Telco,XGB,SMOTE,1,0.7998580553584103,0.6314285714285715,0.5909090909090909,0.6104972375690608,0.8572360432974243
IBM_Telco,XGB,SMOTE,2,0.8005677785663591,0.623342175066313,0.6283422459893048,0.625832223701731,0.8442403575395903
IBM_Telco,XGB,SMOTE,3,0.8097941802696949,0.6480446927374302,0.6203208556149733,0.6338797814207651,0.857363920535276
IBM_Telco,XGB,SMOTE,4,0.7897727272727273,0.6135693215339233,0.5576407506702413,0.5842696629213483,0.8332750514823017
IBM_Telco,XGB,SMOTE,5,0.7855113636363636,0.6,0.5775401069518716,0.5885558583106267,0.836130390260553
Bank_Churn,Logistic,None,1,0.8325506710697731,0.6919631093544137,0.37600229095074456,0.48724371463029964,0.816478142254017
Bank_Churn,Logistic,None,2,0.8334898657860453,0.696929592376919,0.3770045819014891,0.48931425385616056,0.8162961093673458
Bank_Churn,Logistic,None,3,0.8351258823885842,0.6992248062015504,0.38745704467353953,0.4986180210060807,0.817732935848141
Bank_Churn,Logistic,None,4,0.8362468567273609,0.7082235108065367,0.38468146027201144,0.4985620187401429,0.819151065776786
Bank_Churn,Logistic,None,5,0.8330606556383687,0.6852689793866265,0.39032073310423826,0.4973544973544973,0.8189584856958203
Bank_Churn,Logistic,Class_Weights,1,0.7509013239615839,0.44631396357328706,0.7368270332187858,0.5559036404882791,0.8178379678361007
Bank_Churn,Logistic,Class_Weights,2,0.7541127639591602,0.450368291827429,0.7353951890034365,0.5586251903415271,0.8177098182465163
Bank_Churn,Logistic,Class_Weights,3,0.7550822552791832,0.4517459203369012,0.7372565864833907,0.5602219562615602,0.8186709222861669
Bank_Churn,Logistic,Class_Weights,4,0.7545975096191717,0.4511949575418016,0.737866857551897,0.559973924380704,0.8204117797577481
Bank_Churn,Logistic,Class_Weights,5,0.7534690662303823,0.4498215684567847,0.7399770904925544,0.5595192984355546,0.8188837515933958
Bank_Churn,Logistic,SMOTE,1,0.7531432726391372,0.4492235212004886,0.7372565864833907,0.558278217499729,0.8179536961509817
Bank_Churn,Logistic,SMOTE,2,0.7561426364104584,0.4528051050252592,0.7315292096219931,0.5593693545738216,0.8178796939653217
Bank_Churn,Logistic,SMOTE,3,0.7566576786742206,0.4537429378531073,0.7359679266895762,0.5613805155089558,0.8185478484998667
Bank_Churn,Logistic,SMOTE,4,0.7565667888629685,0.45371186739552105,0.7367215461703651,0.5615758171004529,0.8205082676862764
Bank_Churn,Logistic,SMOTE,5,0.7545294794885778,0.45112781954887216,0.738831615120275,0.5601997611551406,0.8188219977403911
Bank_Churn,RandomForest,None,1,0.8623928257642318,0.7445913461538461,0.5322164948453608,0.6207414829659319,0.8857818315096097
Bank_Churn,RandomForest,None,2,0.8632108340655013,0.7459653317393903,0.5360824742268041,0.6238440389902524,0.8851815771923321
Bank_Churn,RandomForest,None,3,0.8633926136880056,0.7475495099019804,0.5350801832760596,0.6237169323207877,0.886341630711822
Bank_Churn,RandomForest,None,4,0.8654527827430545,0.7545018007202882,0.5398711524695776,0.6293916381540515,0.8864469698482651
Bank_Churn,RandomForest,None,5,0.8642671029509786,0.7495017935432443,0.538516609392898,0.6267288785202466,0.8835047678178383
Bank_Churn,RandomForest,Class_Weights,1,0.8404580846487109,0.6063118811881189,0.7014604810996563,0.6504248539564524,0.8829103134116225
Bank_Churn,RandomForest,Class_Weights,2,0.8415790589874875,0.6090197540067089,0.7018900343642611,0.6521652364797446,0.8829661610033137
Bank_Churn,RandomForest,Class_Weights,3,0.8438513042687915,0.6132425742574258,0.7094788087056129,0.6578597981943707,0.8835225653322184
Bank_Churn,RandomForest,Class_Weights,4,0.8427909231375162,0.6102652259332023,0.7115246957766643,0.6570163262608236,0.8841290506513211
Bank_Churn,RandomForest,Class_Weights,5,0.8432103253953827,0.6123183906618651,0.7060423825887744,0.6558489060317882,0.8812732461465551
Bank_Churn,RandomForest,SMOTE,1,0.8581513012391311,0.6972917380870758,0.5824742268041238,0.6347324075518802,0.8837078637898916
Bank_Churn,RandomForest,SMOTE,2,0.8621807495379767,0.7156012041792102,0.5786082474226805,0.6398543266566384,0.8858710088339776
Bank_Churn,RandomForest,SMOTE,3,0.8620898597267246,0.7092943201376937,0.5900630011454754,0.6442082226043457,0.8857330020069039
Bank_Churn,RandomForest,SMOTE,4,0.8627866816129912,0.7084889643463498,0.5974230493915533,0.6482330097087379,0.885844828067127
Bank_Churn,RandomForest,SMOTE,5,0.8631460946494577,0.7174334567248369,0.5827605956471936,0.6431223828711385,0.8834756461688115
Bank_Churn,XGB,None,1,0.8648771472717909,0.7387438516836927,0.559135166093929,0.6365118174409128,0.8897960931247751
Bank_Churn,XGB,None,2,0.8642712151967764,0.7366729678638941,0.5579896907216495,0.6350008147303242,0.8894437058256555
Bank_Churn,XGB,None,3,0.8666646468930833,0.7461406518010292,0.5605670103092784,0.6401766004415012,0.8906521569231272
Bank_Churn,XGB,None,4,0.8672099857605963,0.7479039634146342,0.5619183965640658,0.6417068584975067,0.8909842516934214
Bank_Churn,XGB,None,5,0.8660849542507423,0.7424357034795764,0.5621420389461627,0.6398305084745762,0.8872339538585863
Bank_Churn,XGB,Class_Weights,1,0.8097070318417305,0.5338860503229538,0.7929553264604811,0.6381287088782623,0.8894991682615419
Bank_Churn,XGB,Class_Weights,2,0.8129184718393068,0.5393827280693214,0.7932416953035509,0.6421327151550276,0.8894548918506711
Bank_Churn,XGB,Class_Weights,3,0.8158875390068774,0.5444390004899559,0.7955326460481099,0.6464599453138635,0.8904668859765827
Bank_Churn,XGB,Class_Weights,4,0.8246129608870846,0.56353591160221,0.7593414459556191,0.6469476123681162,0.8833557112925812
Bank_Churn,XGB,Class_Weights,5,0.8173059443737503,0.5478435305917754,0.7820733104238259,0.6443317211277575,0.8844662251819172
Bank_Churn,XGB,SMOTE,1,0.8600296906716757,0.7036526533425224,0.5847651775486827,0.638723803565843,0.885882299401283
Bank_Churn,XGB,SMOTE,2,0.8620595631229739,0.709460623815268,0.5894902634593356,0.6439352467349652,0.8865646661850237
Bank_Churn,XGB,SMOTE,3,0.864210621989275,0.7192429022082019,0.5876288659793815,0.6468085106382979,0.8872024621888146
Bank_Churn,XGB,SMOTE,4,0.8665737570818312,0.7307348471303415,0.5851109520400859,0.6498648433773255,0.8902266553046602
Bank_Churn,XGB,SMOTE,5,0.8637217475610495,0.7144582470669427,0.5929266895761741,0.6480438184663537,0.8853944230641744
